aggregation,malicious_fraction,seed,round,loss,lr,val_accuracy,val_macro_f1,val_asr
fedavg,0.2,42,20,0.442,7.13e-05,0.8085,0.6162,0.3813
fedavg,0.2,42,21,0.4321,6.09e-05,0.8057,0.6199,0.4281
fedavg,0.2,42,22,0.4233,5.1e-05,0.8071,0.6212,0.3885
fedavg,0.2,42,23,0.4242,4.2e-05,0.8099,0.6323,0.4101
fedavg,0.2,42,24,0.4175,3.39e-05,0.8029,0.6229,0.4245
fedavg,0.2,42,25,0.4151,2.68e-05,0.8071,0.6221,0.4137
fedavg,0.2,42,26,0.4121,2.09e-05,0.8064,0.6182,0.4137
fedavg,0.2,42,27,0.4138,1.62e-05,0.8029,0.6166,0.4173
fedavg,0.2,42,28,0.4195,1.28e-05,0.8036,0.6212,0.4245
fedavg,0.2,42,29,0.4175,1.07e-05,0.8022,0.6147,0.4173
fedavg,0.2,42,30,0.4194,1e-05,0.8036,0.6218,0.4173
trust,0.2,42,1,0.9151,6.67e-05,0.7163,0.2729,0.3741
trust,0.2,42,2,0.8026,0.000133,0.7449,0.3616,0.4496
trust,0.2,42,3,0.7528,0.0002,0.7743,0.4831,0.295
trust,0.2,42,4,0.6948,0.0002,0.7897,0.5642,0.1906
trust,0.2,42,5,0.6616,0.000199,0.7876,0.519,0.3201
trust,0.2,42,6,0.6295,0.000197,0.7945,0.5686,0.2878
trust,0.2,42,7,0.6047,0.000194,0.8085,0.5994,0.2266
trust,0.2,42,8,0.579,0.000189,0.8029,0.6322,0.2338
trust,0.2,42,9,0.5626,0.000183,0.8008,0.6429,0.2194
trust,0.2,42,10,0.5474,0.000176,0.8176,0.6494,0.2878
trust,0.2,42,11,0.5396,0.000168,0.8162,0.6448,0.2374
trust,0.2,42,12,0.5179,0.000159,0.8113,0.6234,0.2878
trust,0.2,42,13,0.5065,0.000149,0.8211,0.6619,0.2518
trust,0.2,42,14,0.4949,0.000139,0.819,0.6362,0.277
trust,0.2,42,15,0.4854,0.000128,0.8218,0.6391,0.2734
trust,0.2,42,16,0.4675,0.000116,0.8169,0.6398,0.2086
trust,0.2,42,17,0.4641,0.000105,0.8197,0.6618,0.2194
trust,0.2,42,18,0.4562,9.35e-05,0.8155,0.6248,0.2338
trust,0.2,42,19,0.4445,8.23e-05,0.8211,0.6666,0.241
trust,0.2,42,20,0.4448,7.13e-05,0.819,0.6544,0.2446
trust,0.2,42,21,0.4324,6.09e-05,0.8225,0.6486,0.2734
trust,0.2,42,22,0.4271,5.1e-05,0.8162,0.6611,0.223
trust,0.2,42,23,0.431,4.2e-05,0.8085,0.6439,0.241
trust,0.2,42,24,0.4307,3.39e-05,0.8162,0.6602,0.2374
trust,0.2,42,25,0.4285,2.68e-05,0.8141,0.6396,0.2482
trust,0.2,42,26,0.4263,2.09e-05,0.8155,0.649,0.2374
trust,0.2,42,27,0.4297,1.62e-05,0.8169,0.6513,0.2446
trust,0.2,42,28,0.4433,1.28e-05,0.8162,0.6478,0.2482
trust,0.2,42,29,0.4406,1.07e-05,0.8141,0.6506,0.2518
trust,0.2,42,30,0.4437,1e-05,0.8141,0.6499,0.2518
fedavg,0.0,43,1,0.9827,6.67e-05,0.7184,0.2795,
fedavg,0.0,43,2,0.8537,0.000133,0.754,0.4555,
fedavg,0.0,43,3,0.791,0.0002,0.7806,0.5132,
fedavg,0.0,43,4,0.7369,0.0002,0.7806,0.5395,
fedavg,0.0,43,5,0.6958,0.000199,0.8022,0.5964,
fedavg,0.0,43,6,0.6627,0.000197,0.7994,0.5628,
fedavg,0.0,43,7,0.6415,0.000194,0.8064,0.605,
fedavg,0.0,43,8,0.6136,0.000189,0.8113,0.6275,
fedavg,0.0,43,9,0.5941,0.000183,0.8099,0.6259,
fedavg,0.0,43,10,0.5688,0.000176,0.8106,0.6299,
fedavg,0.0,43,11,0.5551,0.000168,0.8232,0.6507,
fedavg,0.0,43,12,0.5391,0.000159,0.8176,0.6333,
fedavg,0.0,43,13,0.522,0.000149,0.8155,0.6434,
fedavg,0.0,43,14,0.5114,0.000139,0.8169,0.6512,
fedavg,0.0,43,15,0.5005,0.000128,0.8148,0.6523,
fedavg,0.0,43,16,0.4896,0.000116,0.8176,0.6504,
fedavg,0.0,43,17,0.4834,0.000105,0.8092,0.6397,
fedavg,0.0,43,18,0.467,9.35e-05,0.8162,0.641,
fedavg,0.0,43,19,0.4594,8.23e-05,0.8183,0.6645,
fedavg,0.0,43,20,0.4474,7.13e-05,0.819,0.65,
fedavg,0.0,43,21,0.4454,6.09e-05,0.8162,0.6333,
fedavg,0.0,43,22,0.4369,5.1e-05,0.8211,0.6575,
fedavg,0.0,43,23,0.4275,4.2e-05,0.812,0.6366,
fedavg,0.0,43,24,0.4214,3.39e-05,0.8127,0.6415,
fedavg,0.0,43,25,0.4174,2.68e-05,0.8162,0.6416,
fedavg,0.0,43,26,0.4225,2.09e-05,0.8169,0.6457,
fedavg,0.0,43,27,0.4168,1.62e-05,0.8176,0.6483,
fedavg,0.0,43,28,0.4179,1.28e-05,0.8176,0.6477,
fedavg,0.0,43,29,0.4152,1.07e-05,0.8169,0.6445,
fedavg,0.0,43,30,0.4199,1e-05,0.8113,0.6272,
trust,0.0,43,1,0.9827,6.67e-05,0.717,0.2779,
trust,0.0,43,2,0.8536,0.000133,0.7526,0.4426,
trust,0.0,43,3,0.7916,0.0002,0.7806,0.5128,
trust,0.0,43,4,0.7364,0.0002,0.7785,0.5313,
trust,0.0,43,5,0.6968,0.000199,0.7987,0.5509,
trust,0.0,43,6,0.665,0.000197,0.7987,0.5665,
trust,0.0,43,7,0.6409,0.000194,0.8078,0.6056,
